                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4937,                 2.6295,                  1.021,                0.88089,                0.75073,                0.86443,                0.46901,                    1.4,                 1.8431,                0.93524,              0.0033283,              0.0033283,              0.0033283
                      2,                 1.4233,                 1.2383,                 1.0114,                0.86226,                0.77713,                0.87167,                0.45277,                 1.4312,                 1.2073,                0.98223,              0.0066396,              0.0066396,              0.0066396
                      3,                 1.4704,                 1.0386,                 1.0308,                0.85684,                0.75473,                0.82842,                0.44464,                 1.4489,                 1.0177,                 1.0152,               0.009929,               0.009929,               0.009929
                      4,                 1.4952,                0.96351,                 1.0645,                0.91156,                0.77713,                0.86152,                 0.4564,                 1.4456,                 1.1453,                 1.0173,               0.009901,               0.009901,               0.009901
                      5,                 1.4402,                0.88052,                 1.0567,                0.83686,                0.78592,                0.84601,                0.47829,                 1.3569,                0.89164,                 1.0359,               0.009901,               0.009901,               0.009901
                      6,                 1.4081,                0.85282,                 1.0506,                0.85746,                0.79385,                 0.8644,                0.49984,                 1.3145,                0.82774,                0.99379,               0.009868,               0.009868,               0.009868
                      7,                 1.3699,                0.80746,                 1.0372,                0.88995,                0.81525,                 0.8843,                0.52564,                 1.3215,                0.77036,                 1.0344,               0.009835,               0.009835,               0.009835
                      8,                 1.3758,                0.80382,                 1.0293,                 0.8817,                0.83578,                0.89495,                0.52241,                 1.2967,                 0.7753,                  1.011,               0.009802,               0.009802,               0.009802
                      9,                 1.3244,                0.76966,                 1.0141,                0.90376,                0.82405,                0.88602,                0.52407,                 1.3177,                0.75393,                0.98312,               0.009769,               0.009769,               0.009769
                     10,                 1.3215,                0.75244,                 1.0124,                0.91269,                0.82773,                0.89364,                0.50633,                 1.2713,                0.77742,                0.98474,               0.009736,               0.009736,               0.009736
                     11,                 1.3149,                0.74976,                  1.009,                0.91021,                0.83242,                0.91582,                 0.5296,                 1.2873,                0.74223,                0.97556,               0.009703,               0.009703,               0.009703
                     12,                  1.287,                0.73705,                 1.0052,                0.92679,                0.81673,                0.89365,                0.52789,                 1.2848,                0.83449,                0.99059,                0.00967,                0.00967,                0.00967
                     13,                 1.3026,                0.73229,                 1.0003,                0.93858,                0.80059,                0.90744,                0.55008,                 1.2888,                0.67097,                0.98924,               0.009637,               0.009637,               0.009637
                     14,                 1.2671,                 0.7096,                0.99541,                0.92066,                0.82698,                0.91714,                0.54531,                 1.2504,                0.66761,                0.97768,               0.009604,               0.009604,               0.009604
                     15,                 1.2575,                0.70301,                0.99513,                 0.9046,                0.83425,                 0.9006,                0.54072,                 1.3111,                0.68989,                0.98651,               0.009571,               0.009571,               0.009571
                     16,                 1.2594,                0.70047,                 0.9896,                0.91108,                0.81132,                0.88798,                0.52687,                 1.2838,                0.73838,                0.97692,               0.009538,               0.009538,               0.009538
                     17,                 1.2493,                0.69444,                0.98704,                 0.9424,                0.79472,                0.91192,                0.55197,                 1.2551,                0.63294,                0.98237,               0.009505,               0.009505,               0.009505
                     18,                 1.2432,                0.69421,                0.98301,                0.91315,                0.79179,                0.89354,                0.52241,                  1.253,                0.69922,                0.98231,               0.009472,               0.009472,               0.009472
                     19,                 1.2362,                0.68188,                0.98532,                0.91143,                0.83578,                0.90643,                0.54687,                 1.2705,                0.64281,                0.98223,               0.009439,               0.009439,               0.009439
                     20,                 1.2278,                0.67058,                 0.9824,                0.92595,                0.83284,                0.90793,                0.55468,                 1.2534,                0.61422,                0.95767,               0.009406,               0.009406,               0.009406
